# Each row is C_{\ell}^{kg} between 2MPZ map and 100 Planck simulations 2015
-3.236472618219238004e-07 -7.587421760956506484e-08 -2.058101569364587928e-07 -2.348455895100095708e-08 -3.356309667984700523e-08 -1.642844074675355430e-07 -1.032002039476495620e-07 -1.748747675575365852e-08 9.666060926156078854e-08 -1.157358431056607405e-07 -8.069581050464934821e-08 -1.698342159914912538e-09
2.161252931542859285e-07 -3.074256458100751912e-08 3.029405549859293928e-07 1.771869342978634066e-07 3.398057284238431883e-08 1.067756689934305512e-07 -1.076211361921178043e-07 -1.275588241343775496e-07 1.154763057062329790e-07 -5.073623062431007311e-08 -2.402073520284866986e-08 1.313751133281189543e-08
4.085566375050788415e-07 6.479363525367615417e-08 -9.794698923650256728e-08 2.896063787481900793e-07 -7.763557856836273295e-08 1.408261124258507136e-07 -1.432931077765342320e-08 -6.978006319285032769e-08 -8.954663084593203827e-08 -4.163363022115464160e-09 1.158042977404993946e-08 6.298329914747946236e-08
-6.053641347061773535e-08 3.874766876003707315e-07 -6.217234929218202119e-08 -1.400829072327527206e-07 1.255506342508433342e-07 -7.042592204765893386e-09 -2.863623390993427297e-08 -6.378220146773885566e-08 1.691629241841545048e-08 3.602234121062385727e-08 1.427512423983312558e-07 -8.374361316355848642e-08
-6.482672625468663230e-07 -3.050007913395230955e-09 -6.901546787664168494e-08 2.217036974682853650e-07 -1.716843502087266692e-08 -8.331043758366146575e-08 -1.572354906036432664e-07 1.339330158490905396e-08 -4.025804201867614580e-08 4.225968963062134240e-08 8.669932898201817872e-09 -3.616051213861420083e-08
1.796946806609458365e-08 5.904415104309710088e-07 -4.670500394592154969e-07 1.197351488521089120e-07 -2.745719921189526246e-07 1.943562326588735161e-07 1.049931829379121620e-07 5.632868947372151713e-08 7.216025623970282767e-08 -3.874405165291601693e-08 -4.817731365323320758e-09 6.856339084358391031e-08
1.247347015533481977e-06 1.796868592551431760e-08 5.501163644386056353e-08 -1.655383327292972433e-07 -2.994025117692626939e-08 1.694464488819517792e-07 -1.211030510307634911e-07 -6.379683787059952451e-08 6.877453226245366342e-08 -1.176705267640041802e-07 2.465406789444834464e-08 2.598116335882975712e-08
7.463340037640992654e-07 -2.589528711289478073e-07 7.030564416454338953e-08 1.508559155536348365e-07 1.708730400730468346e-07 1.202904897738140702e-07 -1.538156254164655549e-07 8.026598688267305070e-08 -4.559797073912697771e-08 -8.128108725473070273e-08 2.316636080095293488e-08 -3.423543942353537916e-08
4.364348439819636973e-07 3.001670034291798961e-07 1.901962329095017983e-07 -1.850002932692316785e-07 -3.132713558908718162e-08 -1.484255255452152286e-08 -2.217764181794354937e-08 -5.172541218116201768e-08 -5.684259334323181972e-08 -2.357163426927120487e-08 3.421300390471664635e-08 -5.118812909990924965e-09
-4.373958413004087979e-07 -2.239596508207476382e-07 -1.318861423367505804e-07 9.024810802562483434e-08 2.907753069202901796e-08 4.158871949585886680e-08 4.562134926137351340e-08 -1.283887914753328757e-07 -2.793330030744072783e-09 2.199324067443593628e-08 1.660814528820975728e-09 7.120567786996906630e-08
